# French source|English|Deutsch|Español|Português
Prélèvement actuel|Current sample|Aktuelle Farbprobe|Muestra actual|Amostra atual
Des couleurs sont éloignées des gammes disponibles. Essayez d’autres gammes ou davantage de sprays.|Some colors differ significantly from the available ranges. Try other ranges or more sprays.|Einige Farben weichen stark von den verfügbaren Serien ab. Probiere andere Serien oder mehr Sprühfarben.|Algunos colores se alejan de las gamas disponibles. Prueba otras gamas o más aerosoles.|Algumas cores diferem bastante das gamas disponíveis. Experimenta outras gamas ou mais sprays.
L’analyse a échoué. Modifiez un réglage ou importez à nouveau votre image pour réessayer.|Analysis failed. Change a setting or import your image again to retry.|Die Analyse ist fehlgeschlagen. Ändere eine Einstellung oder importiere das Bild erneut.|El análisis ha fallado. Cambia un ajuste o vuelve a importar la imagen para reintentarlo.|A análise falhou. Altera uma definição ou importa novamente a imagem para tentar de novo.
L’analyse n’est pas disponible dans ce navigateur.|Analysis is not available in this browser.|Die Analyse ist in diesem Browser nicht verfügbar.|El análisis no está disponible en este navegador.|A análise não está disponível neste navegador.
Aucune gamme disponible.|No ranges available.|Keine Serien verfügbar.|No hay gamas disponibles.|Nenhuma gama disponível.
Cette image est entièrement transparente.|This image is entirely transparent.|Dieses Bild ist vollständig transparent.|Esta imagen es completamente transparente.|Esta imagem é totalmente transparente.
{0} références ajoutées à votre liste.|{0} references added to your list.|{0} Referenzen zu deiner Liste hinzugefügt.|{0} referencias añadidas a tu lista.|{0} referências adicionadas à tua lista.
Ces références sont déjà dans votre liste.|These references are already in your list.|Diese Referenzen stehen bereits auf deiner Liste.|Estas referencias ya están en tu lista.|Estas referências já estão na tua lista.
DU SKETCH AU MUR|FROM SKETCH TO WALL|VON DER SKIZZE ZUR WAND|DEL BOCETO AL MURO|DO ESBOÇO AO MURO
Gardez vos repères.|Keep your reference points.|Behalte deine Orientierungspunkte.|Conserva tus puntos de referencia.|Mantém os teus pontos de referência.
Superposez votre sketch aux doodles du mur, puis explorez chaque trait.|Overlay your sketch on the wall doodles, then explore every stroke.|Lege deine Skizze über die Wandkritzeleien und erkunde jeden Strich.|Superpón tu boceto a los garabatos del muro y explora cada trazo.|Sobrepõe o esboço aos rabiscos do muro e explora cada traço.
● Photos sur cet appareil|● Photos stay on this device|● Fotos bleiben auf diesem Gerät|● Fotos en este dispositivo|● Fotografias neste dispositivo
Aller au mur|Skip to wall|Zur Wand springen|Ir al muro|Ir para o muro
Mur · Spray Color Wheel|Wall · Spray Color Wheel|Wand · Spray Color Wheel|Muro · Spray Color Wheel|Muro · Spray Color Wheel
Outils de superposition|Overlay tools|Überlagerungswerkzeuge|Herramientas de superposición|Ferramentas de sobreposição
Outils|Tools|Werkzeuge|Herramientas|Ferramentas
Images|Images|Bilder|Imágenes|Imagens
Placement|Placement|Platzierung|Colocación|Posicionamento
Le mur et ses doodles|The wall and its doodles|Die Wand und ihre Kritzeleien|El muro y sus garabatos|O muro e os seus rabiscos
Une photo aussi frontale que possible, avec les repères bien visibles.|Use a photo as straight-on as possible, with clearly visible reference points.|Verwende ein möglichst frontales Foto mit gut sichtbaren Orientierungspunkten.|Usa una foto lo más frontal posible, con los puntos de referencia bien visibles.|Usa uma fotografia o mais frontal possível, com os pontos de referência bem visíveis.
Votre mur, votre terrain de jeu.|Your wall, your playground.|Deine Wand, dein Spielplatz.|Tu muro, tu terreno de juego.|O teu muro, o teu campo de jogo.
Aucune photo du mur|No wall photo|Kein Wandfoto|Ninguna foto del muro|Nenhuma fotografia do muro
Importer le mur|Import wall|Wand importieren|Importar muro|Importar muro
Photographier le mur|Photograph the wall|Wand fotografieren|Fotografiar el muro|Fotografar o muro
Prendre une photo|Take a photo|Foto aufnehmen|Tomar una foto|Tirar uma fotografia
Appareil photo|Camera|Kamera|Cámara|Câmara
Votre sketch|Your sketch|Deine Skizze|Tu boceto|O teu esboço
Le dessin à reporter sur le mur.|The drawing to transfer to the wall.|Die Zeichnung, die auf die Wand übertragen wird.|El dibujo que vas a trasladar al muro.|O desenho a transferir para o muro.
Aucun sketch|No sketch|Keine Skizze|Ningún boceto|Nenhum esboço
Importer le sketch|Import sketch|Skizze importieren|Importar boceto|Importar esboço
Photographier le sketch|Photograph the sketch|Skizze fotografieren|Fotografiar el boceto|Fotografar o esboço
Galerie ou fichiers · JPG, PNG, WebP et formats reconnus par votre navigateur. Images ajustées à 2 560 px maximum.|Gallery or files · JPG, PNG, WebP and formats supported by your browser. Images resized to a maximum of 2,560 px.|Galerie oder Dateien · JPG, PNG, WebP und vom Browser unterstützte Formate. Bilder werden auf maximal 2.560 px verkleinert.|Galería o archivos · JPG, PNG, WebP y formatos compatibles con tu navegador. Imágenes ajustadas a un máximo de 2560 px.|Galeria ou ficheiros · JPG, PNG, WebP e formatos reconhecidos pelo navegador. Imagens ajustadas a um máximo de 2560 px.
Alignez votre dessin.|Align your drawing.|Richte deine Zeichnung aus.|Alinea tu dibujo.|Alinha o teu desenho.
En mode Placer, glissez le sketch. Activez les coins pour épouser la perspective du mur.|In Place mode, drag the sketch. Enable corners to match the wall perspective.|Ziehe die Skizze im Modus Platzieren. Aktiviere die Ecken, um sie an die Wandperspektive anzupassen.|En el modo Colocar, arrastra el boceto. Activa las esquinas para adaptarlo a la perspectiva del muro.|No modo Colocar, arrasta o esboço. Ativa os cantos para o adaptar à perspetiva do muro.
Placement du sketch|Sketch placement|Skizzenplatzierung|Colocación del boceto|Posicionamento do esboço
Ajuster les quatre coins|Adjust all four corners|Alle vier Ecken anpassen|Ajustar las cuatro esquinas|Ajustar os quatro cantos
Taille|Size|Größe|Tamaño|Tamanho
Rotation|Rotation|Drehung|Rotación|Rotação
Replacer au centre|Reset to center|Wieder mittig platzieren|Volver al centro|Repor no centro
Précision au clavier : flèches pour déplacer le sketch, Maj pour un déplacement plus grand.|Keyboard precision: arrows move the sketch; Shift increases the step.|Präzision per Tastatur: Pfeile verschieben die Skizze, Umschalt vergrößert den Schritt.|Precisión con el teclado: flechas para mover el boceto, Mayús para un desplazamiento mayor.|Precisão com o teclado: setas para mover o esboço, Shift para um deslocamento maior.
Une fois aligné, passez en|Once aligned, switch to|Wechsle nach dem Ausrichten zu|Una vez alineado, cambia a|Depois de alinhado, muda para
Explorer|Explore|Erkunden|Explorar|Explorar
: les deux images restent solidaires.|: both images stay aligned.|: Beide Bilder bleiben ausgerichtet.|: las dos imágenes permanecen alineadas.|: as duas imagens mantêm-se alinhadas.
Faites ressortir les traits.|Bring out the strokes.|Hebe die Linien hervor.|Resalta los trazos.|Realça os traços.
Fusion des images|Image blending|Bildüberblendung|Fusión de imágenes|Fusão de imagens
Opacité du sketch|Sketch opacity|Deckkraft der Skizze|Opacidad del boceto|Opacidade do esboço
Mode de fusion|Blend mode|Mischmodus|Modo de fusión|Modo de fusão
Normal|Normal|Normal|Normal|Normal
Produit · traits sombres|Multiply · dark strokes|Multiplizieren · dunkle Linien|Multiplicar · trazos oscuros|Multiplicar · traços escuros
Écran · traits clairs|Screen · light strokes|Negativ multiplizieren · helle Linien|Trama · trazos claros|Ecrã · traços claros
Photo du mur|Wall photo|Wandfoto|Foto del muro|Fotografia do muro
Contraste|Contrast|Kontrast|Contraste|Contraste
Sketch|Sketch|Skizze|Boceto|Esboço
Réinitialiser les réglages|Reset settings|Einstellungen zurücksetzen|Restablecer ajustes|Repor definições
Enregistrer sur cet appareil|Save on this device|Auf diesem Gerät speichern|Guardar en este dispositivo|Guardar neste dispositivo
Reprendre la session enregistrée|Resume saved session|Gespeicherte Sitzung fortsetzen|Reanudar sesión guardada|Retomar a sessão guardada
Une session conservée dans ce navigateur.|One session stored in this browser.|Eine Sitzung wird in diesem Browser gespeichert.|Una sesión guardada en este navegador.|Uma sessão guardada neste navegador.
Vue du mur|Wall view|Wandansicht|Vista del muro|Vista do muro
Mode de travail|Working mode|Arbeitsmodus|Modo de trabajo|Modo de trabalho
Placer|Place|Platzieren|Colocar|Colocar
Explorer · verrouiller|Explore · lock|Erkunden · sperren|Explorar · bloquear|Explorar · bloquear
Annuler (Ctrl / Cmd Z)|Undo (Ctrl / Cmd Z)|Rückgängig (Strg / Cmd Z)|Deshacer (Ctrl / Cmd Z)|Desfazer (Ctrl / Cmd Z)
Rétablir|Redo|Wiederholen|Rehacer|Refazer
Rétablir (Ctrl / Cmd Maj Z)|Redo (Ctrl / Cmd Shift Z)|Wiederholen (Strg / Cmd Umschalt Z)|Rehacer (Ctrl / Cmd Mayús Z)|Refazer (Ctrl / Cmd Shift Z)
Deux images. Un même repère.|Two images. One reference.|Zwei Bilder. Ein Bezugspunkt.|Dos imágenes. Una referencia.|Duas imagens. Uma referência.
Commencez par une photo de votre mur.|Start with a photo of your wall.|Beginne mit einem Foto deiner Wand.|Empieza con una foto de tu muro.|Começa com uma fotografia do teu muro.
Ajoutez ensuite votre sketch pour l’aligner.|Then add your sketch to align it.|Füge dann deine Skizze hinzu und richte sie aus.|Después añade tu boceto para alinearlo.|Depois adiciona o esboço para o alinhar.
Choisir la photo du mur|Choose wall photo|Wandfoto auswählen|Elegir foto del muro|Escolher fotografia do muro
PLACEMENT DU SKETCH|SKETCH PLACEMENT|SKIZZENPLATZIERUNG|COLOCACIÓN DEL BOCETO|POSICIONAMENTO DO ESBOÇO
Recentrer|Recenter|Zentrieren|Centrar|Centrar
Maintenir : mur seul|Hold: wall only|Gedrückt halten: nur Wand|Mantener pulsado: solo muro|Manter premido: só o muro
Plein écran|Full screen|Vollbild|Pantalla completa|Ecrã inteiro
Afficher l’atelier en plein écran|Show the studio full screen|Atelier im Vollbild anzeigen|Mostrar el taller en pantalla completa|Mostrar o ateliê em ecrã inteiro
Importez vos images pour commencer.|Import your images to get started.|Importiere deine Bilder, um zu beginnen.|Importa tus imágenes para empezar.|Importa as tuas imagens para começar.
Exporter en PNG ↗|Export PNG ↗|PNG exportieren ↗|Exportar PNG ↗|Exportar PNG ↗
Superposition du mur et du sketch. Flèches pour déplacer, plus et moins pour zoomer, zéro pour recentrer.|Wall and sketch overlay. Arrow keys to move, plus and minus to zoom, zero to recenter.|Überlagerung von Wand und Skizze. Pfeile zum Verschieben, Plus und Minus zum Zoomen, Null zum Zentrieren.|Superposición del muro y el boceto. Flechas para mover, más y menos para ampliar, cero para centrar.|Sobreposição do muro e do esboço. Setas para mover, mais e menos para ampliar, zero para centrar.
AJOUTEZ VOTRE SKETCH|ADD YOUR SKETCH|SKIZZE HINZUFÜGEN|AÑADE TU BOCETO|ADICIONA O TEU ESBOÇO
AJUSTEMENT DES QUATRE COINS|FOUR-CORNER ADJUSTMENT|VIER ECKEN ANPASSEN|AJUSTE DE LAS CUATRO ESQUINAS|AJUSTE DOS QUATRO CANTOS
EXPLORATION · ALIGNEMENT VERROUILLÉ|EXPLORE · ALIGNMENT LOCKED|ERKUNDEN · AUSRICHTUNG GESPERRT|EXPLORAR · ALINEACIÓN BLOQUEADA|EXPLORAR · ALINHAMENTO BLOQUEADO
Glisser : déplacer le sketch. Coins : perspective. Pincer / molette : zoomer. Espace + glisser : déplacer la vue.|Drag: move sketch. Corners: perspective. Pinch / wheel: zoom. Space + drag: pan view.|Ziehen: Skizze bewegen. Ecken: Perspektive. Spreizen / Mausrad: zoomen. Leertaste + Ziehen: Ansicht verschieben.|Arrastrar: mover boceto. Esquinas: perspectiva. Pellizcar / rueda: ampliar. Espacio + arrastrar: desplazar vista.|Arrastar: mover esboço. Cantos: perspetiva. Pinça / roda: ampliar. Espaço + arrastar: deslocar vista.
Glisser : déplacer la vue. Pincer / molette : zoomer. Les images restent alignées.|Drag: pan view. Pinch / wheel: zoom. Images stay aligned.|Ziehen: Ansicht verschieben. Spreizen / Mausrad: zoomen. Die Bilder bleiben ausgerichtet.|Arrastrar: desplazar vista. Pellizcar / rueda: ampliar. Las imágenes permanecen alineadas.|Arrastar: deslocar vista. Pinça / roda: ampliar. As imagens mantêm-se alinhadas.
Session enregistrée sur cet appareil.|Session saved on this device.|Sitzung auf diesem Gerät gespeichert.|Sesión guardada en este dispositivo.|Sessão guardada neste dispositivo.
Modifications non enregistrées.|Unsaved changes.|Ungespeicherte Änderungen.|Cambios sin guardar.|Alterações não guardadas.
Shader indisponible|Shader unavailable|Shader nicht verfügbar|Sombreador no disponible|Shader indisponível
Choisissez une image de moins de 50 Mo.|Choose an image smaller than 50 MB.|Wähle ein Bild unter 50 MB.|Elige una imagen de menos de 50 MB.|Escolhe uma imagem com menos de 50 MB.
Ce format ne peut pas être lu ici. Exportez la photo en JPG, PNG ou WebP puis réessayez.|This format cannot be read here. Export the photo as JPG, PNG or WebP and try again.|Dieses Format kann hier nicht gelesen werden. Exportiere das Foto als JPG, PNG oder WebP und versuche es erneut.|Este formato no se puede leer aquí. Exporta la foto como JPG, PNG o WebP y vuelve a intentarlo.|Este formato não pode ser lido aqui. Exporta a fotografia em JPG, PNG ou WebP e tenta novamente.
Cette image est trop grande pour cet appareil.|This image is too large for this device.|Dieses Bild ist für dieses Gerät zu groß.|Esta imagen es demasiado grande para este dispositivo.|Esta imagem é demasiado grande para este dispositivo.
Ouverture de la photo…|Opening photo…|Foto wird geöffnet…|Abriendo foto…|A abrir fotografia…
Mur ajouté. Importez votre sketch ou ajustez son placement.|Wall added. Import your sketch or adjust its placement.|Wand hinzugefügt. Importiere deine Skizze oder passe ihre Platzierung an.|Muro añadido. Importa tu boceto o ajusta su colocación.|Muro adicionado. Importa o esboço ou ajusta o posicionamento.
Sketch ajouté. Alignez-le sur le mur, puis verrouillez le placement.|Sketch added. Align it on the wall, then lock its placement.|Skizze hinzugefügt. Richte sie an der Wand aus und sperre die Platzierung.|Boceto añadido. Alinéalo en el muro y bloquea su colocación.|Esboço adicionado. Alinha-o no muro e bloqueia o posicionamento.
Le plein écran n’est pas proposé par ce navigateur.|Full screen is not supported by this browser.|Dieser Browser unterstützt kein Vollbild.|Este navegador no admite pantalla completa.|Este navegador não suporta ecrã inteiro.
Le plein écran n’est pas disponible dans ce navigateur.|Full screen is not available in this browser.|Vollbild ist in diesem Browser nicht verfügbar.|La pantalla completa no está disponible en este navegador.|O ecrã inteiro não está disponível neste navegador.
Quitter le plein écran|Exit full screen|Vollbild verlassen|Salir de pantalla completa|Sair do ecrã inteiro
Session enregistrée dans ce navigateur. Elle remplace la précédente.|Session saved in this browser. It replaces the previous one.|Sitzung in diesem Browser gespeichert. Sie ersetzt die vorherige.|Sesión guardada en este navegador. Sustituye a la anterior.|Sessão guardada neste navegador. Substitui a anterior.
Enregistrement impossible : stockage indisponible ou plein. Exportez votre superposition en PNG.|Cannot save: storage is unavailable or full. Export your overlay as PNG.|Speichern nicht möglich: Speicher nicht verfügbar oder voll. Exportiere die Überlagerung als PNG.|No se puede guardar: almacenamiento no disponible o lleno. Exporta la superposición como PNG.|Não é possível guardar: armazenamento indisponível ou cheio. Exporta a sobreposição em PNG.
Aucune session compatible enregistrée.|No compatible saved session.|Keine kompatible gespeicherte Sitzung.|No hay ninguna sesión compatible guardada.|Nenhuma sessão compatível guardada.
Le placement enregistré est invalide.|Saved placement is invalid.|Die gespeicherte Platzierung ist ungültig.|La colocación guardada no es válida.|O posicionamento guardado é inválido.
Réglages enregistrés invalides.|Invalid saved settings.|Ungültige gespeicherte Einstellungen.|Ajustes guardados no válidos.|Definições guardadas inválidas.
Mode de fusion enregistré invalide.|Invalid saved blend mode.|Ungültiger gespeicherter Mischmodus.|Modo de fusión guardado no válido.|Modo de fusão guardado inválido.
Session restaurée. Annuler permet de retrouver le travail précédent.|Session restored. Undo returns to your previous work.|Sitzung wiederhergestellt. Rückgängig stellt deine vorherige Arbeit wieder her.|Sesión restaurada. Deshacer permite recuperar el trabajo anterior.|Sessão restaurada. Desfazer permite recuperar o trabalho anterior.
Impossible de reprendre la session.|Cannot resume the session.|Die Sitzung kann nicht fortgesetzt werden.|No se puede reanudar la sesión.|Não é possível retomar a sessão.
PNG exporté · {0} × {1} px, sans les poignées ni les commandes.|PNG exported · {0} × {1} px, without handles or controls.|PNG exportiert · {0} × {1} px, ohne Griffe und Bedienelemente.|PNG exportado · {0} × {1} px, sin tiradores ni controles.|PNG exportado · {0} × {1} px, sem alças nem controlos.
Export impossible sur cet appareil. Réessayez avec des images plus petites.|Cannot export on this device. Try smaller images.|Export auf diesem Gerät nicht möglich. Versuche es mit kleineren Bildern.|No se puede exportar en este dispositivo. Prueba con imágenes más pequeñas.|Não é possível exportar neste dispositivo. Tenta com imagens mais pequenas.
Le stockage local est indisponible. Vous pouvez travailler et exporter en PNG.|Local storage is unavailable. You can still work and export PNG.|Lokaler Speicher ist nicht verfügbar. Du kannst weiterarbeiten und PNG exportieren.|El almacenamiento local no está disponible. Puedes trabajar y exportar PNG.|O armazenamento local está indisponível. Podes trabalhar e exportar PNG.
Blancs & crèmes|Whites & creams|Weiß & Creme|Blancos y cremas|Brancos e cremes
Jaunes|Yellows|Gelbtöne|Amarillos|Amarelos
Oranges|Oranges|Orangetöne|Naranjas|Laranjas
Rouges|Reds|Rottöne|Rojos|Vermelhos
Roses & magentas|Pinks & magentas|Rosa & Magenta|Rosas y magentas|Rosas e magentas
Violets|Purples|Violetttöne|Violetas|Violetas
Bleus|Blues|Blautöne|Azules|Azuis
Turquoises|Turquoises|Türkistöne|Turquesas|Turquesas
Verts|Greens|Grüntöne|Verdes|Verdes
Olives|Olives|Olivtöne|Olivas|Azeitonas
Bruns|Browns|Brauntöne|Marrones|Castanhos
Gris|Grays|Grautöne|Grises|Cinzentos
Noirs|Blacks|Schwarztöne|Negros|Pretos
Spéciaux|Specials|Spezialfarben|Especiales|Especiais
Panier sprays · {0}|Spray list · {0}|Sprühfarbenliste · {0}|Lista de aerosoles · {0}|Lista de sprays · {0}
{0} dans le panier|{0} in your list|{0} in deiner Liste|{0} en tu lista|{0} na tua lista
Panier sprays vide|Spray list empty|Sprühfarbenliste leer|Lista de aerosoles vacía|Lista de sprays vazia
Impossible de copier cette référence.|Cannot copy this reference.|Diese Referenz kann nicht kopiert werden.|No se puede copiar esta referencia.|Não é possível copiar esta referência.
Catalogue fabricant invalide.|Invalid manufacturer catalog.|Ungültiger Herstellerkatalog.|Catálogo del fabricante no válido.|Catálogo do fabricante inválido.
Couleur invalide dans {0} a l'index {1}.|Invalid color in {0} at index {1}.|Ungültige Farbe in {0} am Index {1}.|Color no válido en {0} en el índice {1}.|Cor inválida em {0} no índice {1}.
Code exact|Exact code|Exakter Code|Código exacto|Código exato
Libellé exact|Exact name|Exakte Bezeichnung|Nombre exacto|Nome exato
Code détecté|Detected code|Erkannter Code|Código detectado|Código detetado
Correspondance forte|Strong match|Hohe Übereinstimmung|Coincidencia alta|Correspondência forte
Recherche...|Searching…|Suche läuft…|Buscando…|A pesquisar…
Retrouver les références|Find references|Referenzen finden|Buscar referencias|Procurar referências
Filtre actif|Filter active|Filter aktiv|Filtro activo|Filtro ativo
Toutes les familles|All families|Alle Farbfamilien|Todas las familias|Todas as famílias
Toutes|All|Alle|Todas|Todas
Recherche multi-marques|Multi-brand search|Markenübergreifende Suche|Búsqueda multimarca|Pesquisa multimarca
Analyse des références et substitutions en cours.|Analyzing references and substitutes.|Referenzen und Ersatzfarben werden geprüft.|Analizando referencias y sustituciones.|A analisar referências e substituições.
Aucune correspondance trouvée dans ce fabricant.|No match found for this manufacturer.|Keine Übereinstimmung bei diesem Hersteller gefunden.|No se ha encontrado ninguna coincidencia en este fabricante.|Nenhuma correspondência encontrada neste fabricante.
Introuvable|Not found|Nicht gefunden|No encontrado|Não encontrado
Ajouter à ma liste · x{0}|Add to my list · x{0}|Zur Liste hinzufügen · x{0}|Añadir a mi lista · x{0}|Adicionar à lista · x{0}
Copie|Copied|Kopiert|Copiado|Copiado
Copier ref|Copy reference|Referenz kopieren|Copiar referencia|Copiar referência
Substitution depuis {0}|Substitute from {0}|Ersatz aus {0}|Sustitución desde {0}|Substituição de {0}
Sélectionner {0}|Select {0}|{0} auswählen|Seleccionar {0}|Selecionar {0}
Sélectionner|Select|Auswählen|Seleccionar|Selecionar
Voir|View|Ansehen|Ver|Ver
{0} ajoutes au panier depuis la recherche.|{0} added to your list from search.|{0} aus der Suche zur Liste hinzugefügt.|{0} añadidos a tu lista desde la búsqueda.|{0} adicionados à lista a partir da pesquisa.
Aucune correspondance ajoutée au panier.|No matches added to your list.|Keine Treffer zur Liste hinzugefügt.|No se han añadido coincidencias a tu lista.|Nenhuma correspondência adicionada à lista.
Catalogue indisponible|Catalog unavailable|Katalog nicht verfügbar|Catálogo no disponible|Catálogo indisponível
Catalogue fabricants de sprays|Spray manufacturer catalogs|Sprühfarben-Herstellerkataloge|Catálogos de fabricantes de aerosoles|Catálogos de fabricantes de sprays
famille chromatique|color family|Farbfamilie|familia cromática|família cromática
familles chromatiques|color families|Farbfamilien|familias cromáticas|famílias cromáticas
Toutes les couleurs de la marque, classées par famille visuelle.|All brand colors, grouped by visual family.|Alle Farben der Marke, nach Farbfamilien gruppiert.|Todos los colores de la marca, agrupados por familia visual.|Todas as cores da marca, agrupadas por família visual.
{0} · Catalogue sprays|{0} · Spray catalog|{0} · Sprühfarbenkatalog|{0} · Catálogo de aerosoles|{0} · Catálogo de sprays
{0} · panier x{1}|{0} · list x{1}|{0} · Liste x{1}|{0} · lista x{1}|{0} · lista x{1}
{0} référence{1} pour « {2} »|{0} reference{1} for “{2}”|{0} Treffer für „{2}“|{0} referencia{1} para «{2}»|{0} referência{1} para «{2}»
Famille {0}|Family {0}|Familie {0}|Familia {0}|Família {0}
Utiliser comme base ↗|Use as base ↗|Als Ausgangsfarbe verwenden ↗|Usar como base ↗|Usar como base ↗
Sans code|No code|Ohne Code|Sin código|Sem código
Panier x{0}|List x{0}|Liste x{0}|Lista x{0}|Lista x{0}
Impossible de charger la liste des fabricants.|Cannot load the manufacturer list.|Die Herstellerliste kann nicht geladen werden.|No se puede cargar la lista de fabricantes.|Não é possível carregar a lista de fabricantes.
Aucun fabricant n'est disponible.|No manufacturers available.|Keine Hersteller verfügbar.|No hay fabricantes disponibles.|Nenhum fabricante disponível.
Kobra · Basse pression|Kobra · Low pressure|Kobra · Niederdruck|Kobra · Baja presión|Kobra · Baixa pressão
Kobra · Haute pression|Kobra · High pressure|Kobra · Hochdruck|Kobra · Alta presión|Kobra · Alta pressão
Fabricant introuvable.|Manufacturer not found.|Hersteller nicht gefunden.|Fabricante no encontrado.|Fabricante não encontrado.
Impossible de charger le catalogue {0}.|Cannot load catalog {0}.|Katalog {0} kann nicht geladen werden.|No se puede cargar el catálogo {0}.|Não é possível carregar o catálogo {0}.
Chargement du catalogue...|Loading catalog…|Katalog wird geladen…|Cargando catálogo…|A carregar catálogo…
Erreur de chargement du catalogue.|Failed to load catalog.|Katalog konnte nicht geladen werden.|Error al cargar el catálogo.|Erro ao carregar o catálogo.
Chargement des fabricants...|Loading manufacturers…|Hersteller werden geladen…|Cargando fabricantes…|A carregar fabricantes…
Erreur au démarrage de la page catalogue.|Failed to start the catalog page.|Katalogseite konnte nicht gestartet werden.|Error al iniciar la página del catálogo.|Erro ao iniciar a página do catálogo.
référence|reference|Referenz|referencia|referência
références|references|Referenzen|referencias|referências
fabricant|manufacturer|Hersteller|fabricante|fabricante
fabricants|manufacturers|Hersteller|fabricantes|fabricantes
famille|family|Familie|familia|família
familles|families|Familien|familias|famílias
spray|spray|Sprühdose|aerosol|spray
sprays|sprays|Sprühdosen|aerosoles|sprays
ligne|line|Zeile|línea|linha
lignes|lines|Zeilen|líneas|linhas
